cluster,Predicted SM
Fe3V1N2-,12
Au1Rh1Sc2S1N3,2
W1Hf1Rh1Sc1S2-,3
Re1Ta2Hf1O3C1-,2
Hg1Hf1Pd1Y1S1O2+,1
Ir2Re1Nb1N2C2-,2
Os1Cu3O2+,1
Ag2Ru2O1C1+,3
Ag3Cr1S1-,5
Re1Zn1Ti1Sc1O4+,2
Ta4O4,2
Ir1Hf1Ru1Co1O2C2+,4
Pt1La1Ru1Ni1O1N1C1+,2
Hg1Tc2Fe1O1C3-,7
Ni2Sc2C2,2
Ir1Nb1Ti2N2C1+,1
Mo2Co1Ti1S2N2-,4
Hg1Ni2V1C4-,3
Tc1Nb3S1O1-,2
Hf1Mo1V1Sc1S2C2,1
Os1Mo3N3+,3
Zn1V3O2N1+,6
Mn2Ti2S1O1-,5
Ir1Y3C1+,2
Hf2Co1V1O1N1C2-,3
Nb1Mn3C2+,12
Pt1Cu1Ni1Cr1S4+,3
W1Ta3O4+,1
Zr1Ni2Cr1S1N3+,5
Tc2Zn2C1-,3
Os1Ta1Hf1Zr1O2N1C1-,2
Cd1Pd1Nb1Mn1S2O2-,6
Hf2Zr2O1N1+,3
Pt1La1Mo1Mn1O4,5
Au1W1Ta1Cr1S1N1-,5
Zn2Mn1Ti1S1N3-,4
Ir1Re1Ag2S1O2+,1
Ag1Sc3S1C1-,2
Os1Ta2Tc1O4-,2
Ru3Ti1S1O1,1
Hg1Cd1Ag1Tc1S2O2,3
Au1Ir1Rh1Ti1O3+,2
Au2Tc2O1+,4
Au1Hf1Cu1Ti1S2N2-,1
Ir1Ta1La1Nb1O4+,2
Re1Mo1Nb2O2-,4
Cd1Rh1Co1Ti1S2C2,4
Ir1W1Ta2O4+,2
Re1Ru2Sc1S3N1-,3
Mo1Zr1Y1Zn1N2C2,1
Ta3Hf1S1,2
Pd1Ru1Zn1V1O2N2-,2
Pt2Co2S1O2C1+,7
Pt1La1Ag1Ni1S1N3+,1
Hf1Nb2Zr1O3C1+,1
Ta2Ru1Zr1S1O3+,1
Au1Ti3O3,2
Mo1V3S1O2+,3
Hg1Ru1Y1Cr1O1N1+,4
Cu3Cr1O2N1-,2
Ni3Os1+,6
Zr3Y1S1O1,2
Nb2Sc2N2,2
Re1Ag1Pd1Rh1O2C1,1
La1Pd1Cr1Sc1O3-,6
Ir2Hf2S1O1+,1
Zr1V3S2O1+,3
Ir3Co1C1,5
Pt1Hf3O4,3
Ta1Mo3C3-,5
W1Pd1Mn1Ti1S1N3+,6
Os1Pd1Ru2C2+,4
