cluster,AEPA
Mn1Sc1N2+,3.3387
Hf1Tc1N1C1+,4.4574
Tc1Au1-,0.8452
Hf1Tc1N1C1-,4.3238
Mn1Sc1N2-,3.5417
Ni1V1C1,2.7489
Hf1Zn1N1C1,3.2489
Mo1V1O1,3.1500
Hf1Ni1O1N1,3.9072
Zr1Co1N2-,3.8599
La1Zr1O1N1+,4.8845
Mo1Sc1S1N1,3.6646
Re1Sc1S1+,2.7550
Pt1Cr1O2+,2.9634
La1Zr1O1N1-,4.7250
Ni1Co1N2-,3.4527
Cd1Ti1N1C1-,3.2452
Cd1Ti1N1C1+,3.1903
Pt1Ir1N1+,3.0678
Pt1Cr1O2-,3.7046
Hg1V1S1C1-,2.3750
Os1Re1S1-,2.9516
Hg1V1S1C1+,2.6387
Au1Sc1S1-,2.5895
Pt1Ir1N1-,3.1467
Ru1Nb1O1C1+,4.4715
Mo1V1O2,3.9991
Ta1Ru1N1-,3.6924
Ta1Ru1N1+,3.6698
Ir1Fe1S1O1-,3.3996
Au1Sc1S1+,2.3460
Hf1Cr1O2-,4.3316
Ir1Zn1S1+,2.3261
Hf1Cr1O2+,4.4793
Ir1Zn1S1-,1.8802
Ir1Fe1S1O1+,3.2759
Zr1Sc1N1C1,4.1610
Au2O1C1,3.6175
Ir1Cr1N1+,2.5736
Y1Mn1N1C1+,3.7455
Re1Tc1N1C1+,3.9198
W1Cd1S2-,2.8221
Zn1Ta1+,0.7820
W1Cd1S2+,3.0054
Zn1Ta1-,0.5051
Ru1Co1N1C1,3.7538
Re1Tc1N1C1-,4.0522
Tc1Cu1N2,3.1317
Y2N1-,3.5580
Au1Ti1S2-,3.3628
Au1Cu1O2-,2.3256
La1Sc1S1N1+,4.1851
Nb1Tc1-,2.8798
La1Sc1S1N1-,3.7296
Nb1Tc1+,2.8602
Au1Ti1S2+,2.7599
Au1Cu1O2+,1.9236
Ta1Ni1O1C1-,4.3026
Ta1Ru1O1C1,4.5238
Ta2S1-,3.2698
Pt1Ni1S1+,2.6268
Zn1Cr1S1N1,2.3065
Zr1Mn1N1,2.8658
Hf1Zn1S1C1,2.7599
Rh1Mn1O2+,2.9602
Fe2O2,3.3827
Fe2O1,2.5185
Hf1Tc1O1N1,4.2231
Os1Ag1O1N1-,3.6955
